,Unnamed: 0,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
184,184,honor,12999.0,18999.0,31.58060951,4.2,84.0,Circle,Blue,Leather,Yes,8.0,Yes,1.4,27.5
185,185,honor,13999.0,15999.0,12.5007813,4.4,14613.0,Circle,Brown,Leather,Yes,8.0,Yes,1.8,27.5
186,186,honor,17999.0,20999.0,14.28639459,4.4,1111.0,Circle,Blue,Nylon,Yes,17.5,Yes,1.4,27.5
187,187,honor,4999.0,10999.0,54.55041367,4.3,2241.0,Rectangle,Pink,Silicon,Yes,22.0,Yes,1.6,20.0
188,188,honor,9047.0,17999.0,49.73609645,4.3,1779.0,Circle,Brown,Leather,Yes,22.0,Yes,1.2,27.5
189,189,honor,7999.0,17333.0,53.8510356,4.3,1779.0,Circle,Black,Silicon,Yes,22.0,Yes,1.2,27.5
190,190,honor,10999.0,13999.0,21.43010215,4.4,14613.0,Circle,Black,Fluoroelastomer,Yes,22.0,Yes,1.7,20.0
191,191,samsung,12990.0,29999.0,56.69855662,4.4,35511.0,Circle,Black,Rubber,Yes,3.5,Yes,1.4,20.0
192,192,samsung,27999.0,29999.0,6.666888896,4.3,435.0,Circle,Graphite,Rubber,Yes,3.5,Yes,1.2,20.0
193,193,samsung,35999.0,39999.0,10.00025001,4.3,435.0,Circle,Graphite,Rubber,Yes,3.5,Yes,1.4,20.0
194,194,samsung,22749.0,37999.0,40.13263507,4.2,567.0,Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.4,75.0
195,195,samsung,32999.0,35999.0,8.333564821,4.3,435.0,Circle,Graphite,Rubber,Yes,3.5,Yes,1.2,20.0
196,196,samsung,44999.0,48999.0,8.163431907,4.4,88.0,Circle,Black,Rubber,Yes,3.5,Yes,1.4,27.5
197,197,samsung,34997.0,42999.0,18.60973511,4.2,567.0,Circle,Silver,Fluoroelastomer,Yes,3.5,Yes,1.4,75.0
198,198,samsung,49999.0,54999.0,9.091074383,4.4,88.0,Circle,Grey,Rubber,Yes,3.5,Yes,1.4,27.5
199,199,samsung,24999.0,26999.0,7.407681766,4.1,91.0,Circle,Black,Fluoroelastomer,Yes,3.5,Yes,4.0,20.0
200,200,samsung,31999.0,34999.0,8.571673476,3.8,40.0,Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.2,27.5
201,201,samsung,16999.0,34999.0,51.43004086,4.2,567.0,Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.4,20.0
202,202,samsung,39490.0,7999.0,19.0,4.3,1489.0,Circle,Black,Leather,Yes,3.5,Yes,1.8,27.5
203,203,samsung,17490.0,34999.0,50.02714363,4.2,567.0,Circle,Silver,Fluoroelastomer,Yes,3.5,Yes,1.2,27.5
204,204,samsung,31999.0,39999.0,20.00050001,4.2,567.0,Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.2,27.5
205,205,samsung,28999.0,31999.0,9.375292978,3.8,12.0,Circle,Pink,Fluoroelastomer,Yes,3.5,Yes,1.2,20.0
206,206,samsung,11999.0,30990.0,61.28105841,4.3,1489.0,Circle,Black,Leather,Yes,3.5,Yes,1.6,27.5
207,207,samsung,16999.0,28490.0,40.33345033,4.1,1980.0,Circle,Grey,Silicon,Yes,3.5,Yes,1.4,20.0
208,208,samsung,16999.0,31990.0,46.86151922,4.4,23940.0,Circle,Black,Leather,Yes,3.5,Yes,1.7,27.5
209,209,samsung,16999.0,25990.0,34.59407464,4.4,23940.0,Circle,Beige,Silicon,Yes,3.5,Yes,1.7,20.0
210,210,samsung,27490.0,29989.0,8.333055454,4.2,201.0,Circle,Black,Silicon,Yes,3.5,Yes,1.8,75.0
211,211,samsung,19990.0,7999.0,19.0,4.3,68.0,Circle,Blue,Rubber,Yes,3.5,Yes,1.1,20.0
212,212,samsung,24490.0,28490.0,14.04001404,3.7,153.0,Circle,Beige,Silicon,Yes,3.5,Yes,1.7,27.5
